Genus,Species,N,Tmax,max_metric,error,error.measure,Multiple.measures,max_interval_after_LT0,Tmax_2,max_metric_2,error.1,error.measure.1,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N.1,tmin,min_metric,error.2,error_type,Multiple.measures_min,min_interval_after_LT0,N.2,tmin_2,min_metric_2,error.3,error_type.1,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality.of.UTNZ,Realm,Realm.1,Realm.2,max_pretreatmentnum,thermy,realm,elevation_min_0,elevation_max_0
Dictyurus,occidentalis,NA,32,LT0,NA,,N,3,35,LT100,NA,NA,3,,NA,17.953043,-67.154763,0,Biebl_1962,1,NA,16,LT0,,,N,2,NA,14,LT100,NA,NA,2,,NA,17.953043,-67.154763,0,Biebl_1962,1,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Dilsea,carnosa,NA,30,LT0,NA,,N,5,35,LT100,NA,NA,5,,NA,48.7262,-3.985322,0,Biebl_1958,1,NA,-2,LT0,,,N,6,NA,-8,LT100,NA,NA,6,,NA,48.7262,-3.985322,0,Biebl_1958,1,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Diplodus,bellottii,17,27.38,ctmax,NA,,N,NA,NA,,NA,NA,NA,24,0.017,38,-9,0,Madeira_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Spariformes,Sparidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Diplodus,sargus,25,33.8,ctmax,0.6,SD,N,NA,NA,,NA,NA,NA,24,0.017,38,-9,0,Madeira_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Spariformes,Sparidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Diplodus,vulgaris,19,31.1,ctmax,1.3,SD,N,NA,NA,,NA,NA,NA,24,0.017,38,-9,0,Madeira_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Spariformes,Sparidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Distaplia,occidentalis,NA,21.9,LT50,NA,,N,NA,NA,,NA,NA,NA,12,0.25,38.33,-123.06,0,Zerebecki_&_Sorte_2011,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Ascidiacea,Enterogona,Clavelinidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Divaricella,irpex,4,36.94,LT50,0.51,SE,N,NA,NA,,NA,NA,NA,25,NA,-17,122,0,Compton_et_al2007,1,4,5.51,LT50,0.52,SE,N,NA,NA,NA,,NA,NA,NA,25,NA,-17,122,0,Compton_et_al2007,1,Mollusca,Bivalvia,Lucinoida,Lucinidae,,Intertidal,Marine,Marine,27,ectotherm,Intertidal,0,0
Donax,serra,NA,33,LT50,NA,,N,NA,NA,,NA,NA,NA,20,NA,-33.9,25.6,0,Ansell_&_McLachlan_1980,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Mollusca,Bivalvia,Veneroida,Donacidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Donax,sordidus,NA,35,LT50,NA,,N,NA,NA,,NA,NA,NA,20,NA,-33.9,25.6,0,Ansell_&_McLachlan_1980,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Mollusca,Bivalvia,Veneroida,Donacidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Drachiella,spectabilis,NA,27,LT0,NA,,N,3,35,LT100,NA,NA,5,,NA,48.7262,-3.985322,0,Biebl_1958,1,NA,7,LT0,,,N,2,NA,3,LT100,NA,NA,2,,NA,48.7262,-3.985322,0,Biebl_1958,1,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Dudresnaya,verticillata,NA,27,LT0,NA,,N,3,30,LT100,NA,NA,3,,NA,48.7262,-3.985322,0,Biebl_1958,1,NA,-2,LT0,,,N,6,NA,-8,LT100,NA,NA,6,,NA,48.7262,-3.985322,0,Biebl_1958,1,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Dumontia,contorta,NA,24,LT0,NA,,Y,2,26,LT100,NA,NA,2,,NA,48.726199,-3.985325,0,Rietema_&_Breeman_1982,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Echinometra,lucunter,NA,37.1,ctmax,NA,,N,NA,NA,,NA,NA,NA,26,0.017,-7.89,-14.38,0,Morley_et_al_2016,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Echinodermata,Echinoidea,Echinoida,Echinometridae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Ecklonia,biruncinata,NA,26,ctmax,NA,,N,4,NA,,NA,NA,NA,F,NA,-34.13429,18.320854,0,"Bolton_&_Anderson_1985, 1987",1,NA,4,ctmin,,,N,4,NA,NA,,NA,NA,NA,,NA,-34.13429,18.320854,0,"Bolton_&_Anderson_1985, 1987",1,Phaeophyceae,Phaeophyceae,Laminariales,Lessoniaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Ecklonia,maxima,NA,22.5,ctmax,NA,,N,2.5,NA,,NA,NA,NA,,NA,-34.13429,18.320854,0,Bolton_&_Levitt_1985,1,NA,10,ctmin,,,N,5,NA,NA,,NA,NA,NA,,NA,-34.13429,18.320854,0,Bolton_&_Levitt_1985,1,Phaeophyceae,Phaeophyceae,Laminariales,Lessoniaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Ecklonia,radiata,6,24,LT0,NA,,Y,2,26,LT100,NA,NA,2,,NA,-41.34463,174.784442,0,Novaczek_1984,1,6,8,ctmin,,,N,1,NA,NA,,NA,NA,NA,,NA,-41.34463,174.784442,0,Novaczek_1984,1,Phaeophyceae,Phaeophyceae,Laminariales,Lessoniaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Ectocarpus,siliculosus,3,24,LT0,NA,,N,1,25,LT100,NA,NA,1,,NA,-54.932444,-67.606527,0,Wiencke_&_torn_Dieck_1990,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Ectocarpales,Ectocarpaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Egregia,menziesii,NA,18,LT0,NA,,N,2,20,LT100,NA,NA,2,,NA,48.536683,-123.015409,0,L<9f>ning_&_Freshwater_1988,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Lessoniaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Elachista,antarctica,2,18,LT0,NA,,N,1,19,LT100,NA,NA,1,,NA,-61.934135,-57.901964,0,Wiencke_&_torn_Dieck_1989,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Ellochelon,vaigiensis,7,44.5,ctmax,0.05,SD,Y,NA,NA,,NA,NA,NA,35,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,7,9.9,ctmin,,,Y,NA,NA,NA,,NA,NA,NA,20,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,Chordata,Actinopteri,Mugiliformes,Mugilidae,,Marine,Marine,Marine,18,ectotherm,Marine,0,0
Endocladia,muricata,NA,28,LT0,NA,,N,2,30,LT100,NA,NA,2,,NA,48.536683,-123.015409,0,L<9f>ning_&_Freshwater_1988,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Gigartinales,Endocladiaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Engraulis,japonicus,NA,32,LT50,NA,,N,NA,NA,,NA,NA,NA,,NA,34.9,138.6,0,Suehiro1951_in_Brett_1970,1,NA,8,LT50,,,N,NA,NA,NA,,NA,NA,NA,,NA,34.9,138.6,0,Suehiro1951_in_Brett_1970,1,Chordata,Actinopteri,Clupeiformes,Engraulidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Ensis,macha,20,25,LT50,NA,,N,NA,NA,,NA,NA,NA,13,NA,-36.5,-73.9,0,Urban_1994,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Mollusca,Bivalvia,Veneroida,Pharidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Eucidaris,tribuloides,NA,36,ctmax,NA,,N,NA,NA,,NA,NA,NA,26,0.017,-7.89,-14.38,0,Morley_et_al_2016,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Echinodermata,Echinoidea,Cidaroida,Cidaridae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Eucinostomus,gracilis,NA,38,ctmax,NA,,N,NA,NA,,NA,NA,NA,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,NA,12.4,ctmin,,,N,NA,NA,NA,,NA,NA,NA,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Gerreidae,,Marine,Marine,Marine,29,ectotherm,Marine,0,0
Eudesme,virescens,3,30,LT0,NA,,N,1,31,LT100,NA,NA,1,,NA,69.241375,-53.55309,0,Bischoff_&_Wiencke_1993,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Eudorella,splendida,15,15,LT100,NA,,N,NA,NA,,NA,NA,NA,,0.07,-77.8,166.67,0,Bates_et_al_2010,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Malacostraca,Cumacea,Leuconidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Eupogodon,planus,NA,31,LT0,NA,,N,1,32,LT100,NA,NA,1,2,NA,41.940068,9.171427,0,Orfanidis_et_al_1999,1,NA,3,LT0,,,Y,3,NA,0,LT100,NA,NA,3,20,NA,41.940068,9.171427,0,Orfanidis_et_al_1999,1,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,,Marine,Marine,Marine,18,plant,Marine,0,0
Eupogodon,spinellus,NA,31,LT0,NA,,N,1,32,LT100,NA,NA,1,2,NA,41.940068,9.171427,0,Orfanidis_et_al_1999,1,NA,5,LT0,,,Y,2,NA,3,LT100,NA,NA,2,20,NA,41.940068,9.171427,0,Orfanidis_et_al_1999,1,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,,Marine,Marine,Marine,18,plant,Marine,0,0
Eurypanopeus,abbreviatus,6,38.2,ctmax,0.8,SD,N,NA,NA,,NA,NA,NA,F,1,-23.8,-45.4,0,Vinagre_et_al_2015,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Malacostraca,Decapoda,Panopeidae,,Intertidal,Marine,Marine,NA,ectotherm,Intertidal,0,0
Floridichthys,carpio,8,42.2,ctmax,NA,,N,NA,NA,,NA,NA,NA,30,0.3,16.8,-88.1,5,Heath_et_al_1993,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Fucus,gardneri,NA,23,LT0,NA,,N,2,25,LT100,NA,NA,2,,NA,48.536683,-123.015409,0,L<9f>ning_&_Freshwater_1988,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Fucales,Fucaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Fucus,serratus,5,25,LT0,NA,,N,3,28,LT100,NA,NA,3,,NA,54.19261,7.86732,0,L<9f>ning_1984,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Fucales,Fucaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Fucus,spiralis,5,28,LT0,NA,,N,2,30,LT100,NA,NA,2,,NA,54.19261,7.86732,0,L<9f>ning_1984,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Fucales,Fucaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Fucus,spiralis,5,28,LT0,NA,,N,2,30,LT100,NA,NA,2,,NA,54.19261,7.86732,0,L<9f>ning_1984,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Fucales,Fucaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Fucus,vesiculosus,5,28,LT0,NA,,N,2,30,LT100,NA,NA,2,,NA,54.19261,7.86732,0,L<9f>ning_1984,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Fucales,Fucaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Fundulus,heteroclitus,20,40.5,ctmax,0.29,SD,N,NA,NA,,NA,NA,NA,24,0.3,37.16,-76.5,0,Bulger_&_Tremaine_1985,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,,Intertidal,Marine,Marine,NA,ectotherm,Intertidal,0,0
Fundulus,parvipinnis,13,36.1,LT50,NA,,N,NA,NA,,NA,NA,NA,20,NA,33,-117.5,0,Doudoroff_1945,1,8,2.2,LT50,,,N,NA,NA,NA,,NA,NA,NA,20,NA,33,-117.5,0,Doudoroff_1945,1,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,,Marine,Marine,Marine,18,ectotherm,Marine,0,0
Gafrarium,dispar,2,41.76,LT50,1.44,SE,N,NA,NA,,NA,NA,NA,25,NA,-17,122,0,Compton_et_al2007,1,2,7.32,LT50,0.49,SE,N,NA,NA,NA,,NA,NA,NA,25,NA,-17,122,0,Compton_et_al2007,1,Mollusca,Bivalvia,Veneroida,Veneridae,,Intertidal,Marine,Marine,27,ectotherm,Intertidal,0,0
Gammarus,locusta,8,25,LT100,NA,,N,NA,NA,,NA,NA,NA,,NA,71,-156.47,0,Scholander_et_al_1953,2,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Malacostraca,Amphipoda,Gammaridae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Gari,solida,20,26.9,LT50,NA,,N,NA,NA,,NA,NA,NA,16,NA,-14.25,-76.2,0,Urban_1994,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Mollusca,Bivalvia,Veneroida,Psammobiidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Gayralia,oxysperma,5,30,LT0,NA,,Y,NA,NA,,NA,NA,5,,NA,43.992809,-69.240905,0,Guo_&_Mathieson_1992,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chlorophyta,Ulvophyceae,Ulvales,Monostromataceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Gayralia,sp.1,NA,25,LT0,NA,,Y,1,26,LT100,NA,NA,1,,NA,-25.858025,-48.56247,0,Pellizzari_et_al_2008,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chlorophyta,Ulvophyceae,Ulvales,Monostromataceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Geminocarpus,geminatus,3,14.5,LT0,NA,,N,1,15.5,LT100,NA,NA,1,,NA,-62.210794,-58.956171,0,Wiencke_&_torn_Dieck_1990,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Ectocarpales,Acinetosporaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Gemma,gemma,469,35,LT50,NA,,N,NA,NA,,NA,NA,NA,25,NA,37.11,-76.13,0,Kennedy_&_Mihursky_1971,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Mollusca,Bivalvia,Veneroida,Veneridae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Gibbula,cineraria,20,27,LT50,NA,,N,NA,NA,,NA,NA,NA,,NA,55.75,-4.9,2.567,Davenport_&_Davenport_2005,1,20,-1.1,LT50,,,N,NA,NA,NA,,NA,NA,NA,,NA,55.75,-4.9,2.567,Davenport_&_Davenport_2005,1,Mollusca,Gastropoda,Trochoidea,Trochidae,,Intertidal,Marine,Marine,NA,ectotherm,Intertidal,0,0
Gigartina,skottsbergii,3,15,LT0,NA,,N,1,16,LT100,NA,NA,1,,NA,-62.210794,-58.956171,0,Wiencke_&_torn_Dieck_1990,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Gigartina,teedei,3,31,LT0,NA,,N,1,32,LT100,NA,NA,1,15,NA,40.631983,22.932378,0,Orfanidis_1993,1,3,0,LT0,,,Y,1,NA,-1,LT100,NA,NA,1,15,NA,40.631983,22.932378,0,Orfanidis_1993,1,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,,Marine,Marine,Marine,9,plant,Marine,0,0
Gigartina,teedii,3,31,LT0,NA,,N,1,32,LT100,NA,NA,1,15,NA,48.333889,-4.479722,0,Guiry_et_al_1987,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Girella,nigricans,12,34.5,LT50,NA,,N,NA,NA,,NA,NA,NA,20,NA,34,-120.8,0,Doudoroff_1942,1,13,5.3,LT50,,,N,NA,NA,NA,,NA,NA,NA,20,NA,34,-120.8,0,Doudoroff_1942,1,Chordata,Actinopteri,Perciformes,Kyphosidae,,Marine,Marine,Marine,18,ectotherm,Marine,0,0
Gobius,cobitis,4,33.7,ctmax,NA,,N,NA,NA,,NA,NA,NA,24,0.017,38,-9,0,Madeira_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Perciformes,Gobiidae,,Intertidal,Marine,Marine,NA,ectotherm,Intertidal,0,0
Gobius,niger,18,34.1,ctmax,1.2,SD,N,NA,NA,,NA,NA,NA,24,0.017,38,-9,0,Madeira_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Perciformes,Gobiidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Gononema,pectinatum,1,24.4,LT0,NA,,N,1,NA,,NA,NA,1,20,NA,-53.63352,-70.915565,0,Peters_&_Breeman_1993,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Gracilaria,bursa-pastoris,NA,30,LT0,NA,,Y,1,32,LT100,NA,NA,1,,NA,50.732554,-1.402288,0,McLachlan_&_Bird_1984,1,NA,4,LT0,,,Y,1,NA,3,LT100,NA,NA,NA,,NA,50.732554,-1.402288,0,McLachlan_&_Bird_1984,1,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Gracilaria,coronopifolia,NA,28,LT0,NA,,Y,1,29,LT100,NA,NA,1,,NA,19.896767,-155.582782,0,McLachlan_&_Bird_1984,1,NA,14,LT0,,,Y,1,NA,13,LT100,NA,NA,1,,NA,19.896767,-155.582782,0,McLachlan_&_Bird_1984,1,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Gracilaria,debilis,NA,31,LT0,NA,,Y,1,32,LT100,NA,NA,1,,NA,13.909444,-60.978893,0,McLachlan_&_Bird_1984,1,NA,14,LT0,,,Y,1,NA,13,LT100,NA,NA,NA,,NA,13.909444,-60.978893,0,McLachlan_&_Bird_1984,1,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Gracilaria,foliifera,NA,28,LT0,NA,,Y,1,29,LT100,NA,NA,1,,NA,50.575607,-3.445184,0,McLachlan_&_Bird_1984,1,NA,4,LT0,,,Y,1,NA,3,LT100,NA,NA,1,,NA,50.575607,-3.445184,0,McLachlan_&_Bird_1984,1,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Gracilaria,lemaneiformis,NA,28,LT0,NA,,Y,1,29,LT100,NA,NA,1,,NA,-23.097467,-70.44581,0,McLachlan_&_Bird_1984,1,NA,5,LT0,,,Y,1,NA,4,LT100,NA,NA,NA,,NA,-23.097467,-70.44581,0,McLachlan_&_Bird_1984,1,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Gracilaria,mammillaris,NA,31,LT0,NA,,Y,1,32,LT100,NA,NA,1,,NA,27.763383,-82.543672,0,McLachlan_&_Bird_1984,1,NA,14,LT0,,,Y,1,NA,13,LT100,NA,NA,1,,NA,27.763383,-82.543672,0,McLachlan_&_Bird_1984,1,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Gracilaria,secundata,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,-9.1,LT50,1.2,SE,N,1,NA,NA,,NA,NA,NA,,NA,-45.95,170.333333,0,Frazer_et_al_1988,1,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Gracilaria,tikvahiae,NA,34,LT0,NA,,Y,1,36,LT100,NA,NA,1,,NA,44.906696,-61.832469,0,McLachlan_&_Bird_1984,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Gracilariopsis,longissima,2,32,LT0,NA,,N,1,35,LT100,NA,NA,1,15,NA,40.631983,22.932378,0,Orfanidis_1993,1,3,1,LT0,,,Y,1,NA,-1,LT100,NA,NA,1,15,NA,40.631983,22.932378,0,Orfanidis_1993,1,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,Marine,Marine,Marine,9,plant,Marine,0,0
Griffithsia,globulifera,NA,32,LT0,NA,,N,3,35,LT100,NA,NA,3,,NA,17.953043,-67.154763,0,Biebl_1962,1,NA,11,LT0,,,N,3,NA,8,LT100,NA,NA,3,,NA,17.953043,-67.154763,0,Biebl_1962,1,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Grinnellia,americana,NA,31,LT0,NA,,N,1,NA,,NA,NA,1,20,NA,41.293361,-72.086435,0,Yarish_et_al_1987,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Haemulon,bonariense,8,40,LT100,NA,,N,NA,NA,,NA,NA,NA,,NA,9.5,-78,0,Scholander_et_al_1953,2,8,15,LT100,,,N,NA,NA,NA,,NA,NA,NA,,NA,9.5,-78,0,Scholander_et_al_1953,2,Chordata,Actinopteri,Perciformes,Haemulidae,,Marine,Marine,Marine,NA,ectotherm,Marine,0,0
Haemulon,steindachneri,NA,37.2,ctmax,NA,,N,NA,NA,,NA,NA,NA,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,NA,13.2,ctmin,,,N,NA,NA,NA,,NA,NA,NA,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Haemulidae,,Marine,Marine,Marine,29,ectotherm,Marine,0,0
Halichoeres,dispilus,NA,35.8,ctmax,NA,,N,NA,NA,,NA,NA,NA,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,NA,15.6,ctmin,,,N,NA,NA,NA,,NA,NA,NA,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Labridae,,Marine,Marine,Marine,29,ectotherm,Marine,0,0
Halichoerus,grypus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,3,-11,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,70,21.9,NA,Folkow_&_Blix_1987,2,Chordata,Mammalia,Carnivora,Phocidae,,Marine,Marine,Marine,NA,endotherm,Marine,0,0
Halidrys,siliquosa,1,25,LT0,NA,,N,3,28,LT100,NA,NA,3,,NA,54.19261,7.86732,0,L<9f>ning_1984,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Fucales,Sargassaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Halopteris,filicina,NA,27,LT0,NA,,N,3,30,LT100,NA,NA,3,,NA,48.7262,-3.985322,0,Biebl_1958,1,NA,-2,LT0,,,N,6,NA,-8,LT100,NA,NA,6,,NA,48.7262,-3.985322,0,Biebl_1958,1,Phaeophyceae,Phaeophyceae,Sphacelariales,Stypocaulaceae,,Intertidal,Marine,Marine,NA,plant,Intertidal,0,0
Halosaccion,americanum,NA,18,LT0,NA,,N,2,20,LT100,NA,NA,2,,NA,48.536683,-123.015409,0,L<9f>ning_&_Freshwater_1988,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Halosiphon,tomentosa,2,18,LT0,NA,,N,2,20,LT100,NA,NA,2,,NA,54.19261,7.86732,0,L<9f>ning_1984,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Halosiphonaceae,,Marine,Marine,Marine,NA,plant,Marine,0,0
Halozetes,belgicae,50,40.1,LT50,0.2,SE,N,NA,NA,,NA,NA,NA,15,NA,-46.9,37.9,20,Deere_et_al_2006,1,50,-4.7,LT50,0.15,SE,N,NA,NA,NA,,NA,NA,NA,0,NA,-46.9,20,35,Deere_et_al_2006,1,Arthropoda,Arachnida,Oribatida,Ameronothridae,,Intertidal,Marine,Marine,2,ectotherm,Intertidal,0,0
