"longitude","latitude","elev_dif"
56.5,81.5,26.428320322079
57.5,81.5,45.2744270468409
58.5,81.5,43.3079253675185
61.5,81.5,7.93450514020191
63.5,81.5,14.2204730674696
64.5,81.5,5.43807286531147
90.5,81.5,13.5381901236332
94.5,81.5,1.04727430111638
95.5,81.5,3.67539061091116
96.5,81.5,0.621453999423668
-99.5,80.5,3.68960935663846
-96.5,80.5,16.1383463271971
-95.5,80.5,84.9220751772324
-94.5,80.5,204.010368619528
-93.5,80.5,293.766888896624
-92.5,80.5,222.299444622464
-91.5,80.5,165.127084487377
-90.5,80.5,69.2053033803693
-89.5,80.5,49.9093619020164
-88.5,80.5,90.1770228197323
-87.5,80.5,79.3945220650421
-86.5,80.5,99.2624744933952
-85.5,80.5,162.062065923367
-84.5,80.5,142.717700683408
-83.5,80.5,104.183234638185
-82.5,80.5,124.878068326099
-81.5,80.5,194.460880592307
-80.5,80.5,184.625957627263
-79.5,80.5,170.511313077871
-78.5,80.5,231.15196858512
-77.5,80.5,253.589421681232
-76.5,80.5,228.931436896324
-75.5,80.5,217.462493154738
-74.5,80.5,189.965728759766
-73.5,80.5,200.484770880805
-72.5,80.5,275.508119477166
-71.5,80.5,363.829853481717
-70.5,80.5,334.658788840901
-69.5,80.5,249.869777964609
-68.5,80.5,151.290121186369
-67.5,80.5,62.1369011558749
-66.5,80.5,57.537416517914
-65.5,80.5,105.440539368506
-64.5,80.5,139.506523542934
-63.5,80.5,154.019898732503
-62.5,80.5,155.807194073995
-61.5,80.5,139.424421714412
-60.5,80.5,101.499950826168
-59.5,80.5,108.061158657074
-58.5,80.5,85.2248225741916
-57.5,80.5,50.6238047281901
-56.5,80.5,27.6059027777778
-55.5,80.5,25.0107998318142
-54.5,80.5,23.5657068888346
-53.5,80.5,22.907477484809
-52.5,80.5,22.7563154432509
-51.5,80.5,26.9470350477431
-50.5,80.5,37.2224180433485
-49.5,80.5,40.4276368882921
-48.5,80.5,37.8582229614258
-47.5,80.5,31.2193400065104
-46.5,80.5,25.6068522135417
-45.5,80.5,23.0706422593858
-44.5,80.5,21.8578974405924
-43.5,80.5,20.927990383572
-42.5,80.5,17.4633619520399
-41.5,80.5,12.4887958102756
-40.5,80.5,9.45627170138889
-39.5,80.5,10.4338633219401
-38.5,80.5,11.8051834106445
-37.5,80.5,13.2877612643772
-36.5,80.5,14.3575871785482
-35.5,80.5,16.9758063422309
-34.5,80.5,19.9701631334093
-33.5,80.5,22.864616394043
-32.5,80.5,21.5624338785807
-31.5,80.5,21.4556376139323
-30.5,80.5,21.9439036051432
-29.5,80.5,22.9848361545139
-28.5,80.5,36.9137573242188
-27.5,80.5,75.9839649200439
-26.5,80.5,149.461841159397
-25.5,80.5,176.194127665626
-24.5,80.5,163.339075301463
-23.5,80.5,131.368143455048
-22.5,80.5,129.938085975973
-21.5,80.5,178.276792552736
-20.5,80.5,235.612604675595
-19.5,80.5,262.817976586521
-18.5,80.5,171.979471136965
-17.5,80.5,112.790651956465
-16.5,80.5,59.7621443751737
-15.5,80.5,27.340182463328
18.5,80.5,14.3912412765801
19.5,80.5,45.4014372028307
20.5,80.5,41.9978298536347
21.5,80.5,29.8060547378846
22.5,80.5,32.1565322097999
23.5,80.5,35.8128644378586
24.5,80.5,32.8926996507992
25.5,80.5,26.6173733813792
26.5,80.5,14.6478125332441
45.5,80.5,15.5737108472321
46.5,80.5,33.8634634504819
47.5,80.5,33.0195442583386
48.5,80.5,61.226844219022
49.5,80.5,44.1338365366424
50.5,80.5,48.0651689580021
51.5,80.5,16.8853649383463
52.5,80.5,14.9462932747168
53.5,80.5,21.0671050483183
54.5,80.5,34.4801562563354
55.5,80.5,40.5648607504724
56.5,80.5,78.0220012481877
57.5,80.5,67.5078773820375
58.5,80.5,47.6162411782037
59.5,80.5,27.0518058899842
60.5,80.5,53.2632118232238
61.5,80.5,36.8566755953038
62.5,80.5,5.80087680725329
63.5,80.5,34.6198523750257
64.5,80.5,21.7067490164433
65.5,80.5,2.46107200036446
79.5,80.5,10.7346311183129
