"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","cold_acc_temp","cold_acc_temp_dormancy","low_at_min_elev","low_elev_x_cold_dormancy","low_elev_x_hot_dormancy"
-81.5,81.5,-45.1384968623519,-29.5975158178647,-29.5975158178647,-30.4390754480067,-28.8338591427376,-43.4984290876322,-27.957448043145,-27.957448043145
-80.5,81.5,-45.2460800143225,-29.8117396826324,-29.8117396826324,-30.6405347061017,-29.0516195029519,-43.4512154043923,-28.0168750727021,-28.0168750727021
-79.5,81.5,-44.4490725879158,-29.0778595676646,-29.0778595676646,-29.8990014584436,-28.3136452002983,-42.6776722933271,-27.3064592730759,-27.3064592730759
-78.5,81.5,-43.8128432727286,-28.5639282492389,-28.5639282492389,-29.3639365047562,-27.7979654915764,-42.1912797775396,-26.9423647540499,-26.9423647540499
-77.5,81.5,-44.043792541538,-28.933367070263,-28.933367070263,-29.7089751893425,-28.1659673441201,-42.1884074018061,-27.0779819305311,-27.0779819305311
-76.5,81.5,-43.8067969564881,-28.806976793121,-28.806976793121,-29.561181672332,-28.034091979212,-42.1012584290126,-27.1014382656455,-27.1014382656455
-75.5,81.5,-44.1523550376296,-29.2566124569866,-29.2566124569866,-29.9921368120186,-28.4784739068038,-42.4320113660428,-27.5362687853998,-27.5362687853998
-74.5,81.5,-44.1097856474774,-29.2903582146258,-29.2903582146258,-30.0132997598442,-28.5053034220722,-42.9321279495879,-28.1127005167363,-28.1127005167363
-73.5,81.5,-43.4045874555196,-28.6146841903217,-28.6146841903217,-29.3363789810091,-27.820575185792,-42.2651435802068,-27.4752403150089,-27.4752403150089
-72.5,81.5,-42.9849011925714,-28.2032462131232,-28.2032462131232,-28.9315815232924,-27.4013990627435,-41.857377548336,-27.0757225688878,-27.0757225688878
-71.5,81.5,-42.5385399394536,-27.8578767912163,-27.8578767912163,-28.5757526868403,-27.0574480074366,-41.3755828738713,-26.694919725634,-26.694919725634
-70.5,81.5,-42.0685906409153,-27.637307932617,-27.637307932617,-28.3083672457189,-26.8459139978355,-40.4828862668669,-26.0516035585686,-26.0516035585686
-69.5,81.5,-41.6112255867038,-27.3977361002937,-27.3977361002937,-28.0325384238119,-26.6165257704145,-39.9958265587469,-25.7823370723368,-25.7823370723368
-68.5,81.5,-41.6232483360384,-27.5829203803757,-27.5829203803757,-28.200131822776,-26.8159671138926,-40.0495029875054,-26.0091750318427,-26.0091750318427
-67.5,81.5,-41.0246945446091,-27.3518148237573,-27.3518148237573,-27.925751984113,-26.6257233772477,-39.3366302288397,-25.6637505079879,-25.6637505079879
-66.5,81.5,-39.9854899915201,-26.725867722556,-26.725867722556,-27.2491046442075,-26.0468873693624,-38.6721426081784,-25.4125203392143,-25.4125203392143
-65.5,81.5,-39.1595081910491,-26.2611615730716,-26.2611615730716,-26.7408883498725,-25.6226251417858,-38.3325283721669,-25.4341817541894,-25.4341817541894
-64.5,81.5,-38.7533030146999,-26.0489553871964,-26.0489553871964,-26.5078154687336,-25.4294211919045,-38.1400090218857,-25.4356613943822,-25.4356613943822
-63.5,81.5,-38.770483430618,-26.07779624675,-26.07779624675,-26.5398804071104,-25.4534880692073,-38.3373706015332,-25.6446834176652,-25.6446834176652
-62.5,81.5,-38.860184550139,-26.0989618059514,-26.0989618059514,-26.572494705099,-25.4579648906365,-38.5227386864754,-25.7615159422878,-25.7615159422878
