"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","low_at_min_elev","low_elev_x_cold_dormancy","low_elev_x_hot_dormancy"
-174.5,65.5,-27.331297064679,-13.5344969349071,-13.5344969349071,-26.6231884630956,-12.8263883333237,-12.8263883333237
-174.5,66.5,-28.9829468654203,-15.9666959592973,-15.9666959592973,-28.7391841445069,-15.7229332383839,-15.7229332383839
-174.5,67.5,-28.4552786300225,-17.3256129125577,-17.3256129125577,-28.4473588926402,-17.3176931751754,-17.3176931751754
-173.5,-89.5,-61.0023377359978,-59.1461895449087,-59.1461895449087,-61.0023377359978,-59.1461895449087,-59.1461895449087
-173.5,-88.5,-60.8728633930641,-59.1457415588175,-59.1457415588175,-60.8728633930641,-59.1457415588175,-59.1457415588175
-173.5,-87.5,-57.3687424932207,-55.7441228736192,-55.7441228736192,-57.3687424932207,-55.7441228736192,-55.7441228736192
-173.5,-86.5,-53.349302293786,-51.7857266899198,-51.7857266899198,-53.349302293786,-51.7857266899198,-51.7857266899198
-173.5,-85.5,-50.5755729264447,-49.0181957703084,-49.0181957703084,-50.5755729264447,-49.0181957703084,-49.0181957703084
-173.5,-84.5,-35.4114477756832,-33.7932224707412,-33.7932224707412,-35.4114477756832,-33.7932224707412,-33.7932224707412
-173.5,-83.5,-34.6676438353024,-32.7511261185365,-32.7511261185365,-34.6676438353024,-32.7511261185365,-32.7511261185365
-173.5,-82.5,-37.401862524982,-35.2445312049506,-35.2445312049506,-37.401862524982,-35.2445312049506,-35.2445312049506
-173.5,-81.5,-38.3274504770373,-36.0357548865889,-36.0357548865889,-38.3274504770373,-36.0357548865889,-36.0357548865889
-173.5,-80.5,-38.5131177882531,-36.0480748764638,-36.0480748764638,-38.5131177882531,-36.0480748764638,-36.0480748764638
-173.5,-79.5,-37.4650084967459,-34.845415747618,-34.845415747618,-37.4650084967459,-34.845415747618,-34.845415747618
-173.5,-78.5,-37.29999316207,-34.4840980356825,-34.4840980356825,-37.29999316207,-34.4840980356825,-34.4840980356825
-173.5,64.5,-23.0251284773861,-12.3362181472725,-12.3362181472725,-22.1152413537222,-11.4263310236086,-11.4263310236086
-173.5,65.5,-27.1710893046111,-13.3170170564204,-13.3170170564204,-26.5394522862749,-12.6853800380842,-12.6853800380842
-173.5,66.5,-29.5773729496769,-16.0471668297381,-16.0471668297381,-29.2436436465123,-15.7134375265735,-15.7134375265735
-173.5,67.5,-27.6656152869974,-17.4839466697403,-17.4839466697403,-27.6581598508408,-17.4764912335837,-17.4764912335837
-172.5,-89.5,-60.9818900278636,-59.1247555518257,-59.1247555518257,-60.9818900278636,-59.1247555518257,-59.1247555518257
-172.5,-88.5,-60.8655231835587,-59.1346300721356,-59.1346300721356,-60.8655231835587,-59.1346300721356,-59.1346300721356
-172.5,-87.5,-57.2256470231073,-55.596156908891,-55.596156908891,-57.2256470231073,-55.596156908891,-55.596156908891
-172.5,-86.5,-52.913362666113,-51.3422660134733,-51.3422660134733,-52.913362666113,-51.3422660134733,-51.3422660134733
-172.5,-85.5,-52.3098920464516,-50.7381240352988,-50.7381240352988,-52.3098920464516,-50.7381240352988,-50.7381240352988
-172.5,-84.5,-34.4758660908256,-32.8376463275403,-32.8376463275403,-34.4758660908256,-32.8376463275403,-32.8376463275403
-172.5,-83.5,-34.4505668053137,-32.5701859073181,-32.5701859073181,-34.4505668053137,-32.5701859073181,-32.5701859073181
-172.5,-82.5,-37.0980555617384,-34.9904156235911,-34.9904156235911,-37.0980555617384,-34.9904156235911,-34.9904156235911
-172.5,-81.5,-38.0386831771516,-35.791589144298,-35.791589144298,-38.0386831771516,-35.791589144298,-35.791589144298
-172.5,-80.5,-38.3102081519419,-35.8088217709213,-35.8088217709213,-38.3102081519419,-35.8088217709213,-35.8088217709213
-172.5,-79.5,-37.1922334948289,-34.5331213186894,-34.5331213186894,-37.1922334948289,-34.5331213186894,-34.5331213186894
-172.5,-78.5,-37.1362290503723,-34.2947527032346,-34.2947527032346,-37.1362290503723,-34.2947527032346,-34.2947527032346
-172.5,-13.5,18.1777940886095,18.4396185733473,18.4396185733473,18.4561025179774,18.7179270027152,18.7179270027152
