"range","type","dormancy","realm","r_niche_upper","p_niche_upper","ctmax","r_niche_lower","p_niche_lower","ctmin","warm_under","warm_over","f_warm_over","f_warm_under","cold_under","cold_over","f_cold_over","f_cold_under","species","source","range_area_km2","lat_mp"
"Takydromus_septentrionalis_IUCN","elev_x_dormancy",NA,"Terrestrial",28.5046710968018,37.6310997009277,44.5,-3.11751270294189,4.90460157394409,4.9,-9.1264286041259,0,0,15.9953289031982,0,8.02211427688598,23.6046710968018,0,"Takydromus septentrionalis","IUCN",2789522,31.7394890015001
"Takydromus_sexlineatus_IUCN","elev_x_dormancy",NA,"Terrestrial",34.0395393371582,37.0400772094727,42.2,10.2463817596436,6.44048595428467,6.4,-3.0005378723145,0,0,8.1604606628418,-3.80589580535893,0,0,-3.8463817596436,"Takydromus sexlineatus","IUCN",3721166,9.57302511200004
"Takydromus_stejnegeri_IUCN","elev_x_dormancy",NA,"Terrestrial",28.6712875366211,37.0400772094727,43.4,12.7704172134399,8.14309501647949,5.7,-8.3687896728516,0,0,14.7287124633789,-4.62732219696041,0,0,-7.0704172134399,"Takydromus stejnegeri","IUCN",12016,23.8646464675001
"Takydromus_stejnegeri_GBIF","elev_x_dormancy",NA,"Terrestrial",28.6712875366211,37.0400772094727,43.4,12.7704172134399,8.14309501647949,5.7,-8.3687896728516,0,0,14.7287124633789,-4.62732219696041,0,0,-7.0704172134399,"Takydromus stejnegeri","GBIF",27096,23.5287310620368
"Tarentola_boettgeri_IUCN","elev_x_dormancy",NA,"Terrestrial",25.3724594116211,40.5134429931641,42.1,10.018985748291,9.28387641906738,7.1,-15.140983581543,0,0,16.7275405883789,-0.73510932922362,0,0,-2.918985748291,"Tarentola boettgeri","IUCN",1756,28.8969855930001
"Testudo_hermanni_GARD","elev_x_dormancy",NA,"Terrestrial",25.6005420684814,40.5134429931641,42,-9.47460460662842,9.28387641906738,6,-14.9129009246827,0,0,16.3994579315186,0,18.7584810256958,19.6005420684814,0,"Testudo hermanni","GARD",642218,40.7251326547012
"Thamnophis_elegans_IUCN","elev_x_dormancy",NA,"Terrestrial",27.8709239959717,34.6883811950684,43.1,-5.28052091598511,2.05621957778931,2,-6.8174571990967,0,0,15.2290760040283,0,7.33674049377442,25.8709239959717,0,"Thamnophis elegans","IUCN",2537950,43.8473643265
"Thamnophis_ordinoides_IUCN","elev_x_dormancy",NA,"Terrestrial",17.4060726165771,34.6883811950684,38.9,-1.14057493209839,4.25837087631226,4.2,-17.2823085784913,0,0,21.4939273834229,0,5.39894580841065,13.2060726165771,0,"Thamnophis ordinoides","IUCN",194130,45.9666314635001
"Thamnophis_sirtalis_IUCN","elev_x_dormancy",NA,"Terrestrial",30.0106754302979,34.6883811950684,38.9,-10.8007278442383,4.25837087631226,4.2,-4.6777057647705,0,0,8.8893245697021,0,15.0590987205506,25.8106754302979,0,"Thamnophis sirtalis","IUCN",8248977,43.0123458415001
"Tiliqua_nigrolutea_GBIF","elev_x_dormancy",NA,"Terrestrial",26.476318359375,38.6394119262695,42.5,1.88901960849762,5.26487350463867,5.2,-12.1630935668945,0,0,16.023681640625,0,3.37585389614105,21.276318359375,0,"Tiliqua nigrolutea","GBIF",661450,-37.6103996904468
"Tiliqua_nigrolutea_IUCN","elev_x_dormancy",NA,"Terrestrial",24.278881072998,38.6394119262695,42.5,1.01430869102478,5.26487350463867,5.2,-14.3605308532715,0,0,18.221118927002,0,4.25056481361389,19.078881072998,0,"Tiliqua nigrolutea","IUCN",357750,-37.492573321
"Tiliqua_rugosa_GBIF","elev_x_dormancy",NA,"Terrestrial",35.3605003356934,38.6394119262695,43,4.60964202880859,3.5500693321228,3.5,-3.2789115905761,0,0,7.6394996643066,-1.05957269668579,0,0,-1.10964202880859,"Tiliqua rugosa","GBIF",5859198,-28.2684153729021
"Tiliqua_rugosa_IUCN","elev_x_dormancy",NA,"Terrestrial",33.6353225708008,38.6394119262695,43,4.6081690788269,3.5500693321228,3.5,-5.0040893554687,0,0,9.3646774291992,-1.0580997467041,0,0,-1.1081690788269,"Tiliqua rugosa","IUCN",2858850,-30.0269519255
"Tlalocohyla_smithii_IUCN","elev_x_dormancy",NA,"Terrestrial",34.6883811950684,35.2057228088379,42.5,12.3578367233276,5.0351300239563,5,-0.517341613769496,0,0,7.8116188049316,-7.3227066993713,0,0,-7.3578367233276,"Tlalocohyla smithii","IUCN",260451,20.7333486045001
"Trachylepis_striata_GARD","elev_x_dormancy",NA,"Terrestrial",35.9013671875,40.6947975158691,44.5,8.91780185699463,15.7021369934082,15.7,-4.7934303283691,0,0,8.5986328125,0,6.78433513641357,20.2013671875,0,"Trachylepis striata","GARD",7959309,-9.22178389773361
"Trapelus_savignii_IUCN","elev_x_dormancy",NA,"Terrestrial",32.0053405761719,41.2124786376953,47.2,4.42201328277588,12.0007972717285,12,-9.20713806152339,0,0,15.1946594238281,0,7.57878398895262,20.0053405761719,0,"Trapelus savignii","IUCN",36705,31.2360405495
"Trimeresurus_gracilis_GARD","elev_x_dormancy",NA,"Terrestrial",29.815221786499,37.6723709106445,37.7,6.40926504135132,4.98145294189453,4.7,-7.8571491241455,0,0,7.884778213501,-1.42781209945679,0,0,-1.70926504135132,"Trimeresurus gracilis","GARD",17181,23.8421755472729
"Trimeresurus_stejnegeri_GARD","elev_x_dormancy",NA,"Terrestrial",33.5942573547363,37.7418098449707,38,-8.12891483306885,6.40926504135132,6.4,-4.1475524902344,0,0,4.4057426452637,0,14.5381798744202,27.1942573547363,0,"Trimeresurus stejnegeri","GARD",3155609,21.4164819321931
"Uta_stansburiana_GBIF","elev_x_dormancy",NA,"Terrestrial",33.0686492919922,34.6883811950684,43.7,-3.61889100074768,7.82806491851807,7.8,-1.6197319030762,0,0,10.6313507080078,0,11.4469559192658,25.2686492919922,0,"Uta stansburiana","GBIF",3773780,36.2118436608121
"Uta_stansburiana_IUCN","elev_x_dormancy",NA,"Terrestrial",33.0686492919922,34.6883811950684,43.7,0.164994105696678,7.82806491851807,7.8,-1.6197319030762,0,0,10.6313507080078,0,7.66307081282139,25.2686492919922,0,"Uta stansburiana","IUCN",2078485,35.227160181
"Varanus_varius_IUCN","elev_x_dormancy",NA,"Terrestrial",36.3071670532227,40.5953636169434,43.7,3.52797293663025,5.11365509033203,5,-4.2881965637207,0,0,7.3928329467773,0,1.58568215370178,31.3071670532227,0,"Varanus varius","IUCN",1265039,-26.8527280279999
"Varanus_varius_GBIF","elev_x_dormancy",NA,"Terrestrial",39.4053688049316,40.5953636169434,43.7,3.23626780509949,5.11365509033203,5,-1.1899948120118,0,0,4.2946311950684,0,1.87738728523254,34.4053688049316,0,"Varanus varius","GBIF",2922144,-26.6804026504604
"Xantusia_riversiana_IUCN","elev_x_dormancy",NA,"Terrestrial",21.678373336792,35.2057228088379,39,4.87634420394897,6.63379812240601,6.6,-13.5273494720459,0,0,17.321626663208,0,1.75745391845704,15.078373336792,0,"Xantusia riversiana","IUCN",208,33.1440563090001
"Xantusia_vigilis_IUCN","elev_x_dormancy",NA,"Terrestrial",34.4891090393066,35.2057228088379,40.5,-7.48771286010742,4.52716398239136,4.5,-0.7166137695313,0,0,6.0108909606934,0,12.0148768424988,29.9891090393066,0,"Xantusia vigilis","IUCN",254886,30.6486560185
"Zootoca_vivipara_IUCN","elev_x_dormancy",NA,"Terrestrial",19.7920036315918,37.6310997009277,43.9,-19.4184417724609,1.90240204334259,1.9,-17.8390960693359,0,0,24.1079963684082,0,21.3208438158035,17.8920036315918,0,"Zootoca vivipara","IUCN",13973868,56.3022355925001
"Dascyllus_aruanus_GBIF","elev_x_dormancy",NA,"Marine",33.8330764770508,33.8330764770508,40.5,0.300249993801117,12.0138454437256,12,0,0,0,6.6669235229492,0,11.7135954499245,21.8330764770508,0,"Dascyllus aruanus","GBIF",114113811,-10.5329066424248
"Engraulis_japonicus_IUCN","elev_x_dormancy",NA,"Marine",29.4807682037354,31.9599990844727,32,-0.739230751991272,8.00384616851807,8,-2.4792308807373,0,0,2.5192317962646,0,8.74307692050934,21.4807682037354,0,"Engraulis japonicus","IUCN",2443170,34.4184356295
"Fundulus_parvipinnis_GBIF","elev_x_dormancy",NA,"Marine",27.7133331298828,33.8330764770508,36.1,13.5315380096436,2.23384618759155,2.2,-6.119743347168,0,0,8.3866668701172,-11.2976918220521,0,0,-11.3315380096436,"Fundulus parvipinnis","GBIF",130676,31.2639506656813
"Halichoeres_dispilus_IUCN","elev_x_dormancy",NA,"Marine",31.2556400299072,33.8330764770508,35.8,15.9125633239746,15.6220512390137,15.6,-2.5774364471436,0,0,4.5443599700928,-0.2905120849609,0,0,-0.312563323974601,"Halichoeres dispilus","IUCN",1170380,6.60263096650004
"Malacoctenus_zonifer_IUCN","elev_x_dormancy",NA,"Marine",30.9456405639648,33.8330764770508,38.2,19.6156406402588,12.5151281356812,12.5,-2.887435913086,0,0,7.2543594360352,-7.1005125045776,0,0,-7.1156406402588,"Malacoctenus zonifer","IUCN",591876,11.1551247375
"Menidia_menidia_GBIF","elev_x_dormancy",NA,"Marine",29.903844833374,32.4882049560547,32.5,-0.801538467407227,1.50897431373596,1.5,-2.5843601226807,0,0,2.596155166626,0,2.31051278114319,28.403844833374,0,"Menidia menidia","GBIF",2412856,36.5019313656972
"Oncorhynchus_tshawytscha_GBIF","elev_x_dormancy",NA,"Marine",17.8294868469238,27.9974346160889,28,-1.56076920032501,0.00410256395116448,0,-10.1679477691651,0,0,10.1705131530762,0,1.56487176427617,17.8294868469238,0,"Oncorhynchus tshawytscha","GBIF",2653529,50.4516335460081
"Periophthalmus_kalolo_GBIF","elev_x_dormancy",NA,"Marine",30.8976917266846,33.8330764770508,40.7,6.8148717880249,12.8128204345703,12.8,-2.9353847503662,0,0,9.8023082733154,0,5.9979486465454,18.0976917266846,0,"Periophthalmus kalolo","GBIF",7911865,-1.7039031600172
"Plagiotremus_azaleus_IUCN","elev_x_dormancy",NA,"Marine",31.2556400299072,33.8330764770508,35.3,13.5315380096436,13.4058971405029,13.4,-2.5774364471436,0,0,4.0443599700928,-0.125640869140701,0,0,-0.131538009643601,"Plagiotremus azaleus","IUCN",1321819,10.6707428415001
"Sphoeroides_maculatus_IUCN","elev_x_dormancy",NA,"Marine",28.6941013336182,32.4882049560547,32.5,-0.801538467407227,7.60794878005981,7.6,-3.7941036224365,0,0,3.8058986663818,0,8.40948724746704,21.0941013336182,0,"Sphoeroides maculatus","IUCN",1091223,41.179556441
"Tautogolabrus_adspersus_IUCN","elev_x_dormancy",NA,"Marine",26.5830764770508,30,30,-1.51205122470856,0.605128169059753,0.6,-3.4169235229492,0,0,3.4169235229492,0,2.11717939376831,25.9830764770508,0,"Tautogolabrus adspersus","IUCN",1120819,48.2400285635001
"Thalassoma_lucasanum_IUCN","elev_x_dormancy",NA,"Marine",31.2556400299072,33.8330764770508,36,16.264102935791,16.3007698059082,16.3,-2.5774364471436,0,0,4.7443599700928,0,0.0366668701171982,14.9556400299072,0,"Thalassoma lucasanum","IUCN",1084935,8.63012459700005
"Anodontia_bullula_GBIF","elev_x_dormancy",NA,"Intertidal",35.912784576416,36.3020057678223,36.31,9.82131099700928,7.18323516845703,7.17,-0.3892211914063,0,0,0.397215423584001,-2.63807582855225,0,0,-2.65131099700928,"Anodontia bullula","GBIF",1383577,-15.0469085802848
"Barbatia_pistachia_GBIF","elev_x_dormancy",NA,"Intertidal",30.6219482421875,36.8464317321777,36.87,0.276634156703949,6.0230770111084,6.01,-6.2244834899902,0,0,6.2480517578125,0,5.74644285440445,24.6119482421875,0,"Barbatia pistachia","GBIF",571175,-35.1577057380651
"Cerastoderma_edule_GBIF","elev_x_dormancy",NA,"Intertidal",26.8339557647705,33.9608459472656,33.98,-18.7414093017578,-6.16637706756592,-6.18,-7.1268901824951,0,0,7.1460442352295,0,12.5750322341919,33.0139557647705,0,"Cerastoderma edule","GBIF",1730158,49.4578045850014
"Divaricella_irpex_GBIF","elev_x_dormancy",NA,"Intertidal",37.5091972351074,36.9152145385742,36.94,9.4144229888916,5.5115385055542,5.51,0,0.593982696533203,0.569197235107403,0,-3.9028844833374,0,0,-3.9044229888916,"Divaricella irpex","GBIF",1327494,-19.3383589779573
"Halozetes_belgicae_GBIF","elev_x_dormancy",NA,"Intertidal",1.71179485321045,1.92820513248444,40.1,-1.01538455486298,-1.77871787548065,-4.7,-0.21641027927399,0,0,38.3882051467896,-0.76333332061767,0,0,-3.68461544513702,"Halozetes belgicae","GBIF",0,-62
"Hemigrapsus_nudus_GBIF","elev_x_dormancy",NA,"Intertidal",22.741584777832,33.5989151000977,33.6,-14.2440481185913,3.50205111503601,3.5,-10.8573303222657,0,0,10.858415222168,0,17.7460992336273,19.241584777832,0,"Hemigrapsus nudus","GBIF",185251,47.2466316667706
"Littorina_littorea_GBIF","elev_x_dormancy",NA,"Intertidal",20.9641017913818,35.2938690185547,35.3,-19.2305965423584,-12.9802932739258,-13,-14.3297672271729,0,0,14.3358982086182,0,6.2503032684326,33.9641017913818,0,"Littorina littorea","GBIF",1607051,56.2805920325486
"Littorina_obtusata_GBIF","elev_x_dormancy",NA,"Intertidal",30.0992012023926,29.5994873046875,29.6,-31.8403549194336,-12.9802932739258,-13,0,0.499713897705099,0.499201202392598,0,0,18.8600616455078,43.0992012023926,0,"Littorina obtusata","GBIF",3760492,49.8658793682718
"Littorina_saxatilis_GBIF","elev_x_dormancy",NA,"Intertidal",26.5254421234131,34.9874801635742,35,-36.8251571655273,-16.3882350921631,-16.4,-8.4620380401611,0,0,8.4745578765869,0,20.4369220733642,42.9254421234131,0,"Littorina saxatilis","GBIF",4496463,53.3191011663616
"Macoma_balthica_GBIF","elev_x_dormancy",NA,"Intertidal",24.8128204345703,30.9669818878174,30.97,-42.0993843078613,-6.9980001449585,-7.01,-6.1541614532471,0,0,6.1571795654297,0,35.1013841629028,31.8228204345703,0,"Macoma balthica","GBIF",6336966,56.1882707851773
"Mytilus_edulis_GBIF","elev_x_dormancy",NA,"Intertidal",27.315128326416,30.4973545074463,30.5,-40.3565406799316,-8.19184017181396,-8.2,-3.1822261810303,0,0,3.184871673584,0,32.1647005081176,35.515128326416,0,"Mytilus edulis","GBIF",4288598,58.9713667113175
"Nacella_concinna_GBIF","elev_x_dormancy",NA,"Intertidal",14.4969911575317,4.99820518493652,5,-10.28138256073,-12.6788892745972,-12.9,0,9.49878597259518,9.4969911575317,0,-2.3975067138672,0,0,-2.61861743927,"Nacella concinna","GBIF",498701,-65.0846644488208
"Nucella_lapillus_GBIF","elev_x_dormancy",NA,"Intertidal",28.347692489624,28.1976909637451,28.2,-36.6842803955078,-6.39479064941406,-6.4,0,0.150001525878899,0.147692489623999,0,0,30.2894897460937,34.747692489624,0,"Nucella lapillus","GBIF",3661955,55.3157160854747
"Petrolisthes_gracilis_GBIF","elev_x_dormancy",NA,"Intertidal",34.2412910461426,40.5953636169434,41.6,7.9286150932312,1.90615379810333,1.9,-6.3540725708008,0,0,7.3587089538574,-6.02246129512787,0,0,-6.0286150932312,"Petrolisthes gracilis","GBIF",80379,26.3808058194614
"Petrolisthes_hirtipes_GBIF","elev_x_dormancy",NA,"Intertidal",34.2412910461426,39.1307144165039,39.3,7.9286150932312,4.50652647018433,4.5,-4.8894233703613,0,0,5.0587089538574,-3.42208862304687,0,0,-3.4286150932312,"Petrolisthes hirtipes","GBIF",67852,27.0952876846382
"Agkistrodon_contortrix_IUCN","Te_best",NA,"Terrestrial",39.9380722045898,40.300651550293,40.6,-8.38247871398926,6.93386030197144,6.9,-0.362579345703196,0,0,0.6619277954102,0,15.3163390159607,33.0380722045898,0,"Agkistrodon contortrix","IUCN",2316042,35.4443343135
