Family,species,mean annual temeprature,mean body temperature,mean seasonal temperature,activity period,latitudinal centroid,maximum body mass,mean female mass,hatchling mass,basis of female mass estimate,insular endemic?,Activity time,substrate,diet,reproduction,Red List status,Population trend,mean body temperature,body temperatrue references
Chamaeleonidae,Furcifer pardalis,24.3,31.7,24.3,all,-15.0,2.43,1.77,NA,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,LC,stable,31.7,Andrews 2008
Chamaeleonidae,Trioceros bitaeniatus,18.6,28.9,18.6,all,-0.7,2.16,1.12,-0.40,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,28.9,Andrews 2008
Chamaeleonidae,Trioceros ellioti,19.6,32.3,19.6,all,-1.2,1.33,1.25,-0.20,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,32.3,Andrews 2008
Chamaeleonidae,Trioceros hoehnelii,16.2,26.9,16.2,all,-0.2,1.47,1.10,-0.30,female SVL,no,Diurnal,air,Carnivorous,Viviparous,LC,unknown,26.9,"Andrews 2008, Hebrard et al. 1982"
Chamaeleonidae,Trioceros jacksonii,17.9,30.4,17.9,all,-0.6,1.96,1.42,-0.25,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,30.4,Andrews 2008
Chamaeleonidae,Trioceros schubotzi,4.7,22.2,4.7,all,-0.2,1.15,0.98,NA,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,22.2,Andrews 2008
Cordylidae,Cordylus cordylus,15.8,24.2,18.5,oct_apr,-33.0,1.43,0.95,-0.21,female SVL,no,Diurnal,air,Omnivorous,Viviparous,NE,NE,24.2,Clusella-Trullas et al. 2009
Cordylidae,Cordylus jonesii,20.6,33.5,20.6,all,-22.0,1.30,0.93,-0.08,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,33.5,Bauwens et al. 1999
Cordylidae,Cordylus macropholis,17.1,28.9,19.3,oct_apr,-32.0,1.02,0.79,-0.08,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,28.9,"Truter 2011, Bauwens et al. 1999"
Cordylidae,Cordylus niger,17.4,23.6,19.4,oct_apr,-34.0,1.30,0.97,NA,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,23.6,Clusella-Trullas et al. 2009
Cordylidae,Cordylus oelofseni,15.9,20.6,18.8,oct_apr,-33.0,0.85,0.78,0.00,female mass,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,20.6,Clusella-Trullas et al. 2009
Cordylidae,Cordylus vittifer,17.6,32.1,20.3,oct_apr,-26.0,1.35,1.19,0.41,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,32.1,Bauwens et al. 1999
Cordylidae,Ouroborus cataphractus,16.8,29.6,19.9,oct_apr,-31.0,1.77,1.52,NA,female SVL,no,Diurnal,air,Carnivorous,Viviparous,VU,not specified,29.6,"Muchlinski et al. 1995, Truter 2011"
Cordylidae,Platysaurus intermedius,20.2,28.8,20.2,all,-21.0,1.83,1.06,-0.42,female SVL,no,Diurnal,air,Omnivorous,Oviparous,LC,stable,28.8,Lailvaux et al. 2003
Cordylidae,Pseudocordylus melanotus,14.7,27.6,17.7,oct_apr,-28.0,2.07,1.45,0.04,female SVL,no,Diurnal,air,Omnivorous,Viviparous,NE,NE,27.6,McConnachie et al. 2009
